council,region,tribunal,year,pcns_issued,appeals_received,appeals_decided,allowed_pct,not_contested_pct,source,page
South Essex Parking Partnership,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/south-essex-parking-partnership
South Gloucestershire Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/south-gloucestershire-council
South Hams District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/south-hams-district-council
South Holland District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/south-holland-district-council
South Kesteven District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/south-kesteven-district-council
South Norfolk District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/south-norfolk-district-council
South Oxfordshire District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/south-oxfordshire-district-council
South Ribble Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/south-ribble-borough-council
South Staffordshire District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/south-staffordshire-district-council
South Tyneside Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/south-tyneside-council
Southampton City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/southampton-city-council
Southend-on-Sea City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/southend-on-sea-city-council
Spelthorne Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/spelthorne-borough-council
St Albans City and District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/st-albans-city-and-district-council
St Helens Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/st-helens-council
Stafford Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/stafford-borough-council
Staffordshire County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/staffordshire-county-council
Staffordshire Moorlands District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/staffordshire-moorlands-district-council
Stevenage Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/stevenage-borough-council
Stockport Metropolitan Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/stockport-metropolitan-borough-council
Stockton-On-Tees Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/stockton-on-tees-borough-council
Stoke-on-Trent City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/stoke-on-trent-city-council
Stratford-on-Avon District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/stratford-on-avon-district-council
Stroud District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/stroud-district-council
Suffolk County Council (with East Suffolk Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/suffolk-county-council-with-east-suffolk-council
Suffolk County Council (with Ipswich Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/suffolk-county-council-with-ipswich-borough-council
Suffolk County Council (with West Suffolk Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/suffolk-county-council-with-west-suffolk-council
Sunderland City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/sunderland-city-council
Surrey County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/surrey-county-council
Surrey County Council (with Guildford Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/surrey-county-council-with-guildford-borough-council
Surrey County Council (with Mole Valley District Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/surrey-county-council-with-mole-valley-district-council
Surrey County Council (with Reigate and Banstead Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/surrey-county-council-with-reigate-and-banstead-borough-council
Surrey County Council (with Runnymede Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/surrey-county-council-with-runnymede-borough-council
Surrey County Council (with Spelthorne Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/surrey-county-council-with-spelthorne-borough-council
Surrey County Council (with Woking Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/surrey-county-council-with-woking-borough-council
Surrey Heath Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/surrey-heath-borough-council
Swale Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/swale-borough-council
Swindon Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/swindon-borough-council
Tameside Metropolitan Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/tameside-metropolitan-borough-council
Tamworth Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/tamworth-borough-council
Tandridge District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/tandridge-district-council
Teignbridge District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/teignbridge-district-council
Tendring District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/tendring-district-council
Test Valley Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/test-valley-borough-council
Thanet District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/thanet-district-council
The Borough Council of Kings Lynn and West Norfolk,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/the-borough-council-of-kings-lynn-and-west-norfolk
The Borough Council of Kings Lynn and West Norfolk working under the authority delegated by Norfolk County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/the-borough-council-of-kings-lynn-and-west-norfolk-working-under-the-authority-delegated-by-norfolk-county-council
The City and County of Swansea,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/the-city-and-county-of-swansea
Three Rivers District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/three-rivers-district-council
Thurrock Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/thurrock-council
Tonbridge and Malling Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/tonbridge-and-malling-borough-council
Torbay Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/torbay-council
Torfaen County Borough Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/torfaen-county-borough-council
Torridge District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/torridge-district-council
Trafford Metropolitan Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/trafford-metropolitan-borough-council
Tunbridge Wells Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/tunbridge-wells-borough-council
Uttlesford District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/uttlesford-district-council
Vale of Glamorgan Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/vale-of-glamorgan-council
Vale of White Horse District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/vale-of-white-horse-district-council
Wakefield Metropolitan District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/wakefield-metropolitan-district-council
Walsall Metropolitan Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/walsall-metropolitan-borough-council
Warrington Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/warrington-borough-council
Warwick District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/warwick-district-council
Warwickshire County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/warwickshire-county-council
Watford Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/watford-borough-council
Waverley Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/waverley-borough-council
Welwyn Hatfield Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/welwyn-hatfield-borough-council
West Berkshire District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/west-berkshire-district-council
West Devon Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/west-devon-borough-council
West Lancashire Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/west-lancashire-borough-council
West Lindsey District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/west-lindsey-district-council
West Northamptonshire Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/west-northamptonshire-council
West Suffolk Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/west-suffolk-council
West Sussex County Council (with Adur District Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/west-sussex-county-council-with-adur-district-council
West Sussex County Council (with Chichester District Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/west-sussex-county-council-with-chichester-district-council
West Sussex County Council (with Horsham Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/west-sussex-county-council-with-horsham-borough-council
West Sussex County Council (with Mid Sussex District Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/west-sussex-county-council-with-mid-sussex-district-council
West Sussex County Council (with Worthing Borough Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/west-sussex-county-council-with-worthing-borough-council
Westmorland and Furness Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/westmorland-and-furness-council
Wigan Metropolitan Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/wigan-metropolitan-borough-council
Wiltshire Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/wiltshire-council
Winchester City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/winchester-city-council
Woking Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/woking-borough-council
Wokingham Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/wokingham-borough-council
Wolverhampton City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/wolverhampton-city-council
Worcester City Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/worcester-city-council
Worcestershire County Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/worcestershire-county-council
Worcestershire County Council (with Worcester City Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/worcestershire-county-council-with-worcester-city-council
Worcestershire County Council (with Wychavon District Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/worcestershire-county-council-with-wychavon-district-council
Worcestershire County Council (with Wyre Forest District Council),England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/worcestershire-county-council-with-wyre-forest-district-council
Worthing Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/worthing-borough-council
Wrexham County Borough Council,Wales,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/wrexham-county-borough-council
Wychavon District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/wychavon-district-council
Wyre Borough Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/wyre-borough-council
Wyre Forest District Council,England outside London,Traffic Penalty Tribunal,not published,not published,not published,not published,not published,not published,Traffic Penalty Tribunal annual report - no per-authority figures published,https://www.catoappeals.com/councils/wyre-forest-district-council
